country,year,general_government_mio_nac,social_security_mio_nac,non_ssf_mio_nac,state_government_mio_nac,general_government_pct_gdp,social_security_pct_gdp,non_ssf_pct_gdp,central_government_pct_gdp,has_state_tier,closure_error_mio_nac,sectors_reported,complete,aggregate_positive,non_ssf_negative,ssf_positive,central_negative,offset_ratio,offset_exceeds_one
BE,2024,-27056.3,221.9,-27278.2,-9420.1,-4.4,0,-4.4,-2.7,True,-3.637978807e-12,4,True,False,True,True,True,0.00813470097,False
BE,2025,-33220.7,173.1,-33393.8,-8947.8,-5.2,0,-5.3,-3.8,True,7.275957614e-12,4,True,False,True,True,True,0.005183596955,False
BG,1995,-35.9,6.9,-42.8,,-5.5,1.1,-6.5,-4.9,False,7.105427358e-15,4,True,False,True,True,True,0.1612149533,False
BG,1996,-90.7,9.5,-100.1,,-8.1,0.8,-8.9,-7.5,False,-0.1,4,True,False,True,True,True,0.09490509491,False
BG,1997,147.3,16.4,131,,1.5,0.2,1.4,1.3,False,-0.1,4,True,True,False,True,False,,False
BG,1998,182,-8.6,190.6,,1.3,-0.1,1.4,1.5,False,0,4,True,True,False,False,False,,False
BG,1999,19.6,60.7,-41.2,,0.2,0.5,-0.3,-0.1,False,0.1,4,True,True,True,True,True,,False
BG,2000,15.6,161.1,-145.6,,0.1,1.1,-1,-0.9,False,0.1,4,True,True,True,True,True,1.106456044,True
BG,2001,107.6,88.3,19.2,,0.7,0.6,0.1,0.2,False,0.1,4,True,True,False,True,False,,False
BG,2002,-184.6,102,-286.6,,-1.1,0.6,-1.6,-1.7,False,-2.842170943e-14,4,True,False,True,True,True,0.3558967202,False
BG,2003,-7.1,59.3,-66.4,,0,0.3,-0.4,-0.2,False,8.881784197e-15,4,True,False,True,True,True,,False
BG,2004,376.1,26.1,350,,1.8,0.1,1.7,1.4,False,0,4,True,True,False,True,False,,False
BG,2005,386.8,2,384.7,,1.6,0,1.6,2,False,0.1,4,True,True,False,True,False,,False
BG,2006,731.2,-128.2,859.4,,2.7,-0.5,3.1,2.9,False,0,4,True,True,False,False,False,,False
BG,2007,-3.4,40,-43.3,,0,0.1,-0.1,0,False,-0.1,4,True,False,True,True,False,,False
BG,2008,528.7,94.7,434.1,,1.4,0.3,1.1,1.5,False,-0.1,4,True,True,False,True,False,,False
BG,2009,-1661.1,127,-1788.2,,-4.4,0.3,-4.7,-3.9,False,0.1,4,True,False,True,True,True,0.07102113858,False
BG,2010,-1402.8,-411.4,-991.4,,-3.7,-1.1,-2.6,-2.6,False,0,4,True,False,True,False,True,,False
BG,2011,-724.7,47.7,-772.4,,-1.7,0.1,-1.8,-1.8,False,-1.136868377e-13,4,True,False,True,True,True,0.06175556706,False
BG,2012,-340.8,40.5,-381.2,,-0.8,0.1,-0.9,-1.1,False,-0.1,4,True,False,True,True,True,0.1062434418,False
BG,2013,-305.7,-6.7,-299,,-0.7,0,-0.7,-1.1,False,0,4,True,False,True,False,True,,False
BG,2014,-2315,99,-2414,,-5.4,0.2,-5.6,-5.6,False,0,4,True,False,True,True,True,0.04101077051,False
BG,2015,-851.4,-18.5,-832.9,,-1.9,0,-1.8,-0.9,False,0,4,True,False,True,False,True,,False
BG,2016,155.1,10.9,144.2,,0.3,0,0.3,0.2,False,0,4,True,True,False,True,False,,False
BG,2017,852.6,-32.3,884.9,,1.6,-0.1,1.7,1.5,False,0,4,True,True,False,False,False,,False
BG,2018,970.5,53.4,917.1,,1.7,0.1,1.6,1.5,False,0,4,True,True,False,True,False,,False
BG,2019,1319,137.5,1181.6,,2.2,0.2,2,2.1,False,-0.1,4,True,True,False,True,False,,False
BG,2020,-2368.1,84.5,-2452.7,,-3.8,0.1,-3.9,-4.2,False,0.1,4,True,False,True,True,True,0.0344518286,False
BG,2021,-2825.5,414.1,-3239.6,,-4,0.6,-4.5,-4.6,False,0,4,True,False,True,True,True,0.1278244228,False
BG,2022,-2527.9,-318.6,-2209.4,,-2.9,-0.4,-2.5,-2.8,False,0.1,4,True,False,True,False,True,,False
BG,2023,-1883.5,57.5,-1941,,-2,0.1,-2,-1.9,False,0,4,True,False,True,True,True,0.0296239052,False
BG,2024,-3191.5,-36.4,-3155.1,,-3,0,-3,-2.6,False,4.547473509e-13,4,True,False,True,False,True,,False
BG,2025,-4112.6,-4.3,-4108.3,,-3.5,0,-3.5,-3.3,False,0,4,True,False,True,False,True,,False
CH,1995,-7837.7,100.8,-7938.5,-1985.3,-1.9,0,-2,-1.2,True,0,4,True,False,True,True,True,0.0126976129,False
CH,1996,-8474.8,-439.8,-8035,-2165.1,-2,-0.1,-1.9,-1.3,True,0,4,True,False,True,False,True,,False
CH,1997,-10046.8,-3103,-6943.8,-2161.7,-2.3,-0.7,-1.6,-0.9,True,0,4,True,False,True,False,True,,False
CH,1998,-5830.7,-2037,-3793.6,-915.9,-1.3,-0.5,-0.9,-0.5,True,-0.1,4,True,False,True,False,True,,False
CH,1999,-7071.4,433.2,-7504.6,465.1,-1.6,0.1,-1.7,-1.9,True,9.094947018e-13,4,True,False,True,True,True,0.05772459558,False
CH,2000,1467.2,3312.5,-1845.4,68.8,0.3,0.7,-0.4,-0.6,True,0.1,4,True,True,True,True,True,,False
CH,2001,873.6,3625.7,-2752.1,-725.1,0.2,0.7,-0.5,-0.6,True,5.684341886e-13,4,True,True,True,True,True,,False
CH,2002,-8494.6,2269,-10763.6,-1020.3,-1.8,0.5,-2.2,-2.2,True,0,4,True,False,True,True,True,0.210803077,False
CH,2003,-6694.2,-1011.4,-5682.8,-2589.2,-1.4,-0.2,-1.2,-0.6,True,-9.094947018e-13,4,True,False,True,False,True,,False
CH,2004,-7126.9,-2429.6,-4697.2,-2668.7,-1.4,-0.5,-1,-0.5,True,-0.1,4,True,False,True,False,True,,False
CH,2005,-3338,-2581.4,-756.7,-1000.4,-0.6,-0.5,-0.2,0,True,0.1,4,True,False,True,False,False,,False
CH,2006,4678.7,-1168.1,5846.7,1646.8,0.8,-0.2,1.1,0.6,True,0.1,4,True,True,False,False,False,,False
CH,2007,7831.4,7352.3,479.1,3422.4,1.3,1.2,0.1,-0.9,True,0,4,True,True,False,True,True,,False
CH,2008,11129.9,1790.4,9339.5,4036.6,1.8,0.3,1.6,0.8,True,0,4,True,True,False,True,False,,False
CH,2009,3896.4,-1143.2,5039.5,2353.9,0.6,-0.2,0.8,0.5,True,0.1,4,True,True,False,False,False,,False
CH,2010,1908.2,-1790,3698.2,1357.5,0.3,-0.3,0.6,0.5,True,-2.273736754e-13,4,True,True,False,False,False,,False
CH,2011,5666,3060.4,2605.5,1343.4,0.9,0.5,0.4,0.2,True,0.1,4,True,True,False,True,False,,False
CH,2012,1322.8,2963.1,-1640.3,-954.6,0.2,0.5,-0.2,0,True,2.273736754e-13,4,True,True,True,True,False,,False
CH,2013,-3027.2,2086.4,-5113.6,-4309.7,-0.5,0.3,-0.8,0.1,True,4.547473509e-13,4,True,False,True,True,False,0.4080100125,False
CH,2014,-1492.1,2235.8,-3727.9,-2052.3,-0.2,0.3,-0.5,0,True,4.547473509e-13,4,True,False,True,True,False,0.5997478473,False
CH,2015,3248.8,1704,1544.8,478.3,0.5,0.3,0.3,0.3,True,0,4,True,True,False,True,False,,False
CH,2016,2289.1,826.2,1462.8,821.5,0.3,0.1,0.1,0.1,True,0.1,4,True,True,False,True,False,,False
CH,2017,6118.9,971.3,5147.7,2219.5,0.9,0.1,0.7,0.5,True,-0.1,4,True,True,False,True,False,,False
CH,2018,8906.4,921.1,7985.3,2786.7,1.3,0.1,1.1,0.7,True,0,4,True,True,False,True,False,,False
CH,2019,8234.7,889.3,7345.4,3452.4,1.1,0.1,1,0.6,True,1.818989404e-12,4,True,True,False,True,False,,False
CH,2020,-18704.7,1144,-19848.7,-3749.9,-2.7,0.2,-2.8,-2.1,True,0,4,True,False,True,True,True,0.05763601646,False
CH,2021,-8601.9,476,-9077.8,2919.3,-1.2,0.1,-1.2,-1.6,True,-0.1,4,True,False,True,True,True,0.05243561215,False
CH,2022,9854,5372.6,4481.4,4883.6,1.2,0.7,0.6,-0.1,True,0,4,True,True,False,True,True,,False
CH,2023,2813,4908.2,-2095.2,-128.9,0.4,0.6,-0.3,-0.2,True,0,4,True,True,True,True,True,,False
CH,2024,4519.7,5316.8,-797.1,360.6,0.5,0.6,-0.1,-0.1,True,0,4,True,True,True,True,True,,False
CY,1995,-22.1,249.8,-272,,-0.3,3.3,-3.6,-3.9,False,0.1,4,True,False,True,True,True,0.9183823529,False
CY,1996,-194.6,264.8,-459.3,,-2.4,3.3,-5.8,-6.1,False,-0.1,4,True,False,True,True,True,0.5765295014,False
CY,1997,-364.7,274.7,-639.4,,-4.4,3.3,-7.6,-7.9,False,0,4,True,False,True,True,True,0.4296215202,False
CY,1998,-293.8,311.3,-605.3,,-3.2,3.4,-6.7,-7,False,0.2,4,True,False,True,True,True,0.5142904345,False
CY,1999,-344.3,316.5,-660.8,,-3.5,3.3,-6.8,-7.1,False,5.684341886e-14,4,True,False,True,True,True,0.478964891,False
CY,2000,-190.5,322.4,-512.8,,-1.8,3,-4.8,-5.1,False,-0.1,4,True,False,True,True,True,0.6287051482,False
CY,2001,-197.9,380.3,-578.2,,-1.7,3.3,-5.1,-5.3,False,-8.526512829e-14,4,True,False,True,True,True,0.657730889,False
CY,2002,-446.5,310.5,-757,,-3.8,2.6,-6.4,-6.6,False,0,4,True,False,True,True,True,0.4101717305,False
CY,2003,-736.9,314.6,-1051.6,,-5.7,2.4,-8.2,-8.2,False,0.1,4,True,False,True,True,True,0.2991631799,False
CY,2004,-493.1,396.5,-889.7,,-3.6,2.9,-6.4,-6.4,False,0.1,4,True,False,True,True,True,0.445655839,False
CY,2005,-310.6,399,-709.6,,-2.1,2.7,-4.8,-4.8,False,0,4,True,False,True,True,True,0.5622886133,False
CY,2006,-163.9,374.4,-538.1,,-1,2.3,-3.4,-3.3,False,-0.2,4,True,False,True,True,True,0.6957814533,False
CY,2007,555,477.3,77.6,,3.2,2.7,0.4,0.6,False,0.1,4,True,True,False,True,False,,False
CY,2008,127.8,613.5,-485.8,,0.7,3.2,-2.5,-2.2,False,0.1,4,True,True,True,True,True,1.262865377,True
CY,2009,-1051.9,467.7,-1519.6,,-5.6,2.5,-8.1,-7.8,False,0,4,True,False,True,True,True,0.3077783627,False
CY,2010,-984.5,438.8,-1423.3,,-5.1,2.3,-7.3,-6.8,False,0,4,True,False,True,True,True,0.3082976182,False
CY,2011,-1179.8,379.6,-1559.5,,-5.9,1.9,-7.8,-7.4,False,0.1,4,True,False,True,True,True,0.2434113498,False
CY,2012,-2966.7,174.3,-3141,,-15.2,0.9,-16.1,-15.8,False,0,4,True,False,True,True,True,0.05549188157,False
CY,2013,-1009.2,-83,-926.3,,-5.6,-0.5,-5.1,-5.2,False,0.1,4,True,False,True,False,True,,False
CY,2014,-1538,-40.3,-1497.7,,-8.8,-0.2,-8.6,-8.6,False,0,4,True,False,True,False,True,,False
CY,2015,-137.8,12.5,-150.4,,-0.8,0.1,-0.8,-1,False,0.1,4,True,False,True,True,True,0.08311170213,False
CY,2016,86,22.4,63.7,,0.5,0.1,0.4,0.2,False,-0.1,4,True,True,False,True,False,,False
CY,2017,432.1,171.2,260.7,,2.1,0.8,1.3,0.9,False,0.2,4,True,True,False,True,False,,False
CY,2018,-734.1,259.4,-993.5,,-3.4,1.2,-4.6,-5.7,False,0,4,True,False,True,True,True,0.2610971314,False
CY,2019,240.9,660,-419.1,,1,2.8,-1.8,-2,False,-2.842170943e-14,4,True,True,True,True,True,1.57480315,True
CY,2020,-1247.7,342.2,-1589.9,,-5.6,1.5,-7.1,-7.2,False,-2.273736754e-13,4,True,False,True,True,True,0.2152336625,False
CY,2021,-407.8,279.8,-687.6,,-1.6,1.1,-2.7,-2.7,False,-1.136868377e-13,4,True,False,True,True,True,0.4069226294,False
CY,2022,795.7,546.4,249.3,,2.7,1.8,0.8,0.7,False,0,4,True,True,False,True,False,,False
CY,2023,553.4,1174.4,-621,,1.7,3.6,-1.9,-1.9,False,-1.136868377e-13,4,True,True,True,True,True,1.891143317,True
CY,2024,1439,1420.7,18.3,,4.1,4.1,0.1,0.1,False,0,4,True,True,False,True,False,,False
CY,2025,1241.5,1252.2,-10.7,,3.4,3.4,0,0,False,0,4,True,True,True,True,False,,False
CZ,1995,-197376,-4349,-193027,,-12.3,-0.3,-12.1,-14,False,0,4,True,False,True,False,True,,False
CZ,1996,-54777,-4420,-50357,,-3,-0.2,-2.7,-5,False,0,4,True,False,True,False,True,,False
CZ,1997,-62178,-1151,-61027,,-3.1,-0.1,-3.1,-2.6,False,0,4,True,False,True,False,True,,False
CZ,1998,-89762,-1147,-88615,,-4.1,-0.1,-4.1,-4.6,False,0,4,True,False,True,False,True,,False
CZ,1999,-69842,524,-70366,,-3.1,0,-3.1,-3.2,False,0,4,True,False,True,True,True,0.007446778274,False
CZ,2000,-85116,3883,-88999,,-3.5,0.2,-3.7,-3.2,False,0,4,True,False,True,True,True,0.0436297037,False
CZ,2001,-149203,-2681,-146522,,-5.8,-0.1,-5.6,-5.2,False,0,4,True,False,True,False,True,,False
CZ,2002,-171596,-6184,-165412,,-6.3,-0.2,-6.1,-5.7,False,0,4,True,False,True,False,True,,False
CZ,2003,-194777,-4504,-190273,,-6.9,-0.2,-6.7,-6.3,False,0,4,True,False,True,False,True,,False
CZ,2004,-74261,-2553,-71708,,-2.4,-0.1,-2.3,-2.3,False,0,4,True,False,True,False,True,,False
CZ,2005,-100666,-94,-100572,,-3.1,0,-3.1,-3,False,0,4,True,False,True,False,True,,False
CZ,2006,-77165,11803,-88968,,-2.2,0.3,-2.5,-2.2,False,0,4,True,False,True,True,True,0.1326656775,False
CZ,2007,-26144,16112,-42256,,-0.7,0.4,-1.1,-1.4,False,0,4,True,False,True,True,True,0.381294964,False
CZ,2008,-80705,10042,-90747,,-2,0.2,-2.3,-2.1,False,0,4,True,False,True,True,True,0.1106593055,False
CZ,2009,-215277,-10649,-204628,,-5.5,-0.3,-5.2,-4.6,False,0,4,True,False,True,False,True,,False
CZ,2010,-167132,-8719,-158413,,-4.1,-0.2,-4,-3.6,False,0,4,True,False,True,False,True,,False
CZ,2011,-111059,-6926,-104133,,-2.7,-0.2,-2.6,-2.3,False,0,4,True,False,True,False,True,,False
CZ,2012,-161338,-6828,-154510,,-3.9,-0.2,-3.8,-3.7,False,0,4,True,False,True,False,True,,False
CZ,2013,-54135,915,-55050,,-1.3,0,-1.3,-1.6,False,0,4,True,False,True,True,True,0.01662125341,False
CZ,2014,-91652,-2693,-88959,,-2.1,-0.1,-2,-2.2,False,0,4,True,False,True,False,True,,False
CZ,2015,-30969,1913,-32882,,-0.7,0,-0.7,-1.3,False,0,4,True,False,True,True,True,0.05817772642,False
CZ,2016,33169,4886,28283,,0.7,0.1,0.6,-0.4,False,0,4,True,True,False,True,True,,False
CZ,2017,75634,8182,67452,,1.5,0.2,1.3,0.5,False,0,4,True,True,False,True,False,,False
CZ,2018,48269,16646,31623,,0.9,0.3,0.5,0.1,False,0,4,True,True,False,True,False,,False
CZ,2019,16651,11391,5260,,0.3,0.2,0.1,-0.5,False,0,4,True,True,False,True,True,,False
CZ,2020,-329285,-11661,-317624,,-5.6,-0.2,-5.4,-5.9,False,0,4,True,False,True,False,True,,False
CZ,2021,-312308,-9272,-303036,,-5,-0.1,-4.8,-5.7,False,0,4,True,False,True,False,True,,False
CZ,2022,-216345,398,-216743,,-3.1,0,-3.1,-4,False,0,4,True,False,True,True,True,0.001836276143,False
CZ,2023,-286066,-4302,-281764,,-3.7,-0.1,-3.7,-4.5,False,0,4,True,False,True,False,True,,False
CZ,2024,-163345,-18081,-145264,,-2,-0.2,-1.8,-2.6,False,0,4,True,False,True,False,True,,False
CZ,2025,-183744,-15341,-168403,,-2.1,-0.2,-2,-2.3,False,0,4,True,False,True,False,True,,False
DE,1995,-179290,-6770,-172520,-25937,-9.4,-0.4,-9.1,-7.5,True,0,4,True,False,True,False,True,,False
DE,1996,-70169,-7074,-63095,-25372,-3.6,-0.4,-3.3,-1.8,True,0,4,True,False,True,False,True,,False
DE,1997,-59551,669,-60220,-25402,-3,0,-3.1,-1.6,True,0,4,True,False,True,True,True,0.01110926602,False
DE,1998,-53582,1292,-54874,-18103,-2.6,0.1,-2.7,-1.8,True,0,4,True,False,True,True,True,0.0235448482,False
DE,1999,-38771,4014,-42785,-13290,-1.9,0.2,-2,-1.4,True,0,4,True,False,True,True,True,0.09381792684,False
DE,2000,-36509,-1063,-35446,-11352,-1.7,0,-1.6,-1.1,True,0,4,True,False,True,False,True,,False
DE,2001,-68602,-5168,-63434,-31327,-3.1,-0.2,-2.8,-1.1,True,0,4,True,False,True,False,True,,False
DE,2002,-90850,-6976,-83874,-35271,-4.1,-0.3,-3.8,-1.7,True,0,4,True,False,True,False,True,,False
DE,2003,-85812,-5998,-79814,-35702,-3.8,-0.3,-3.6,-1.4,True,0,4,True,False,True,False,True,,False
DE,2004,-78445,-261,-78184,-29155,-3.4,0,-3.4,-1.8,True,0,4,True,False,True,False,True,,False
DE,2005,-78396,-3732,-74664,-23905,-3.4,-0.2,-3.2,-2,True,0,4,True,False,True,False,True,,False
DE,2006,-42584,5171,-47755,-12839,-1.8,0.2,-2,-1.4,True,0,4,True,False,True,True,True,0.1082818553,False
DE,2007,3937,10272,-6335,2009,0.2,0.4,-0.3,-0.6,True,0,4,True,True,True,True,True,,False
DE,2008,-6809,6584,-13393,-3269,-0.3,0.3,-0.4,-0.5,True,0,4,True,False,True,True,True,,False
DE,2009,-79207,-14341,-64866,-20026,-3.2,-0.6,-2.6,-1.5,True,0,4,True,False,True,False,True,,False
DE,2010,-115620,3911,-119531,-21861,-4.4,0.1,-4.6,-3.4,True,0,4,True,False,True,True,True,0.03271954556,False
DE,2011,-23074,15512,-38586,-10688,-0.8,0.6,-1.4,-0.9,True,0,4,True,False,True,True,True,0.4020110921,False
DE,2012,-1521,18706,-20227,-5644,-0.1,0.7,-0.7,-0.6,True,0,4,True,False,True,True,True,0.9248034805,False
DE,2013,3512,5725,-2213,-2356,0.1,0.2,-0.1,0,True,0,4,True,True,True,True,False,,False
DE,2014,21832,3399,18433,1864,0.7,0.1,0.7,0.6,True,0,4,True,True,False,True,False,,False
DE,2015,28239,3007,25232,4641,0.9,0.1,0.9,0.6,True,0,4,True,True,False,True,False,,False
DE,2016,36237,8547,27690,7309,1.1,0.3,0.9,0.5,True,0,4,True,True,False,True,False,,False
DE,2017,44571,10942,33629,13076,1.3,0.3,1,0.3,True,0,4,True,True,False,True,False,,False
DE,2018,64667,15749,48918,10735,1.9,0.5,1.5,0.7,True,0,4,True,True,False,True,False,,False
DE,2019,46949,8930,38019,12856,1.3,0.3,1.1,0.5,True,0,4,True,True,False,True,False,,False
DE,2020,-151131,-34867,-116264,-31299,-4.4,-1,-3.3,-2.6,True,0,4,True,False,True,False,True,,False
DE,2021,-116630,2436,-119066,6508,-3.2,0.1,-3.2,-3.6,True,0,4,True,False,True,True,True,0.02045924109,False
DE,2022,-76138,8781,-84919,19417,-1.9,0.2,-2.1,-2.8,True,0,4,True,False,True,True,True,0.1034044207,False
